U+03C9	ω	希腊字母 欧米伽 omeg
U+03C8	ψ	希腊字母 普西 psi
U+03C7	χ	希腊字母 西 chi
U+03C6	φ	希腊字母 佛爱 phi
U+03C5	υ	希腊字母 宇普西龙 upsi
U+03C4	τ	希腊字母 陶 tau
U+03C3	σ	希腊字母 西格马 sigm
U+03C1	ρ	希腊字母 肉 rho
U+03C0	π	希腊字母 派 pipi
U+03BF	ο	希腊字母 奥密克戎 omic oooo
U+03BE	ξ	希腊字母 克西 xixi
U+03BD	ν	希腊字母 纽 nunu vvvv
U+03BC	μ	希腊字母 缪 mumu uuuu
U+03BB	λ	希腊字母 兰布达 lamb
U+03BA	κ	希腊字母 卡帕 kapp kkkk
U+03B9	ι	希腊字母 约塔 iota iiii
U+03B8	θ	希腊字母 西塔 thet
U+03B7	η	希腊字母 艾塔 eta hhhh
U+03B6	ζ	希腊字母 截塔 xeta xxxx
U+03B5	ε	希腊字母 伊普西龙 epsi eeee
U+03B4	δ	希腊字母 德尔塔 delt
U+03B3	γ	希腊字母 伽马 gamm
U+03B2	β	希腊字母 贝塔 beta bbbb
U+03B1	α	希腊字母 阿尔法 alph aaaa
U+03A9	Ω	希腊字母 欧米伽 omeg
U+03A8	Ψ	希腊字母 普西 psi
U+03A7	Χ	希腊字母 西 chi
U+03A6	Φ	希腊字母 佛爱 phi
U+03A5	Υ	希腊字母 宇普西龙 upsi
U+03A4	Τ	希腊字母 陶 tau
U+03A3	Σ	希腊字母 西格马 sigm
U+03A1	Ρ	希腊字母 肉 rho
U+03A0	Π	希腊字母 派 pipi
U+039F	Ο	希腊字母 奥密克戎 omic oooo
U+039E	Ξ	希腊字母 克西 xixi
U+039D	Ν	希腊字母 纽 nunu vvvv
U+039C	Μ	希腊字母 缪 mumu uuuu
U+039B	Λ	希腊字母 兰布达 lamb
U+039A	Κ	希腊字母 卡帕 kapp kkkk
U+0399	Ι	希腊字母 约塔 iota iiii
U+0398	Θ	希腊字母 西塔 thet
U+0397	Η	希腊字母 艾塔 eta hhhh
U+0396	Ζ	希腊字母 截塔 xeta xxxx
U+0395	Ε	希腊字母 伊普西龙 epsi eeee
U+0394	Δ	希腊字母 德尔塔 delt
U+0393	Γ	希腊字母 伽马 gamm
U+0392	Β	希腊字母 贝塔 beta bbbb
U+0391	Α	希腊字母 阿尔法 alph aaaa
