U+FFE5	￥	日元 jpy
U+FDFC	﷼	里亚尔 irr
U+20BF	₿	比特币 bitc
U+20BE	₾	拉里 gel
U+20BD	₽	俄罗斯卢布 卢布 rub
U+20BC	₼	马纳特 axn
U+0192	ƒ	阿鲁巴荷兰盾 荷兰盾  awg
U+060B	؋	阿富汗尼 afn
U+20BB	₻	北欧马克
U+20BA	₺	土耳其里拉 里拉 try
U+20B9	₹	印度卢比 卢比 inr
U+20B8	₸	坚戈 kxt
U+20B6	₶	里弗尔
U+20B5	₵	塞地 ghs
U+20B4	₴	戈里夫纳 uah
U+20B3	₳	奥斯特拉尔
U+20B2	₲	瓜拉尼 pyg
U+20B1	₱	菲律宾比索 比索 php
U+20B0	₰	德国便士 便士
U+20AF	₯	德拉克马
U+20AE	₮	图格里克 mnt
U+20AD	₭	基普 lak
U+20AC	€	欧元 eur
U+20AB	₫	越南盾 vnd
U+20AA	₪	谢克尔 ils
U+20A9	₩	韩元 krw
U+20A8	₨	卢比 pkr
U+20A7	₧	比塞塔
U+20A6	₦	奈拉 ngn
U+20A5	₥	密尔
U+20A4	₤	马耳他里拉 里拉
U+20A3	₣	法国法郎 法郎
U+20A2	₢	克鲁赛罗
U+20A1	₡	科朗 crc
U+20A0	₠	欧洲货币
U+17DB	៛	瑞尔 khr
U+0E3F	฿	泰铢 thb
U+00A5	¥	人民币 cny rmb
U+00A3	£	英镑 gbp
U+09F3	৳	孟加拉塔卡 塔卡 bdt
