U+E7C8		拼音字母 nnnn
U+E7C7		拼音字母 nnnn
U+01DC	ǜ	拼音字母 vvvv
U+01DA	ǚ	拼音字母 vvvv
U+01D8	ǘ	拼音字母 vvvv
U+01D6	ǖ	拼音字母 vvvv
U+01D4	ǔ	拼音字母 uuuu
U+01D2	ǒ	拼音字母 oooo
U+01D0	ǐ	拼音字母 iiii
U+01CE	ǎ	拼音字母 aaaa
U+016B	ū	拼音字母 uuuu
U+014D	ō	拼音字母 oooo
U+0148	ň	拼音字母 nnnn
U+0144	ń	拼音字母 nnnn
U+012B	ī	拼音字母 iiii
U+011B	ě	拼音字母 eeee
U+0113	ē	拼音字母 eeee
U+0101	ā	拼音字母 aaaa
U+00FA	ú	拼音字母 uuuu
U+00F9	ù	拼音字母 uuuu
U+00F3	ó	拼音字母 oooo
U+00F2	ò	拼音字母 oooo
U+00ED	í	拼音字母 iiii
U+00EC	ì	拼音字母 iiii
U+00EA	ê	拼音字母 eeee
U+00E9	é	拼音字母 eeee
U+00E8	è	拼音字母 eeee
U+00E1	á	拼音字母 aaaa
U+00E0	à	拼音字母 aaaa
