U+33FF	㏿	gal
U+33DF	㏟	amam
U+33DE	㏞	vmvm
U+33DD	㏝	wbwb
U+33DC	㏜	svsv
U+33DB	㏛	srsr
U+33DA	㏚	prpr
U+33D9	㏙	ppm
U+33D8	㏘	pmpm
U+33D7	㏗	phph
U+33D6	㏖	mol
U+33D5	㏕	mil
U+33D4	㏔	mbmb
U+33D3	㏓	lxlx
U+33D2	㏒	log
U+33D1	㏑	lnln
U+33D0	㏐	lmlm
U+33CF	㏏	ktkt
U+33CE	㏎	kmkm
U+33CD	㏍	kkkk
U+33CC	㏌	inin
U+33CB	㏋	hphp
U+33CA	㏊	haha
U+33C9	㏉	gygy
U+33C8	㏈	dbdb
U+33C7	㏇	coco
U+33C6	㏆	ckg
U+33C5	㏅	cdcd
U+33C4	㏄	cccc
U+33C3	㏃	bqbq
U+33C2	㏂	amam
U+33C1	㏁	momo
U+33C0	㏀	koko
U+33BF	㎿	mwmw
U+33BE	㎾	kwkw
U+33BD	㎽	mwmw
U+33BC	㎼	uwuw
U+33BB	㎻	nwnw
U+33BA	㎺	pwpw
U+33B9	㎹	mvmv
U+33B8	㎸	kvkv
U+33B7	㎷	mvmv
U+33B6	㎶	uvuv
U+33B5	㎵	nvnv
U+33B4	㎴	pvpv
U+33B3	㎳	msms
U+33B2	㎲	usus
U+33B1	㎱	nsns
U+33B0	㎰	psps
U+33AF	㎯	rads
U+33AE	㎮	rads
U+33AD	㎭	rad
U+33AC	㎬	gpa
U+33AB	㎫	mpa
U+33AA	㎪	kpa
U+33A9	㎩	paoa
U+33A8	㎨	msms
U+33A7	㎧	msms
U+33A6	㎦	kmkm
U+33A5	㎥	mmmm
U+33A4	㎤	cmcm
U+33A3	㎣	mmmm
U+33A2	㎢	kmkm
U+33A1	㎡	mmmm
U+33A0	㎠	cmcm
U+339F	㎟	mmmm
U+339E	㎞	kmkm
U+339D	㎝	cmcm
U+339C	㎜	mmmm
U+339B	㎛	umum
U+339A	㎚	nmnm
U+3399	㎙	fmfm
U+3398	㎘	klkl
U+3397	㎗	dldl
U+3396	㎖	mlml
U+3395	㎕	ulul
U+3394	㎔	thx
U+3393	㎓	hhx
U+3392	㎒	mhx
U+3391	㎑	khx
U+3390	㎐	hxhx
U+338F	㎏	kgkg
U+338E	㎎	mgmg
U+338D	㎍	ugug
U+338C	㎌	ufuf
U+338B	㎋	nfnf
U+338A	㎊	pfpf
U+3389	㎉	kcal
U+3388	㎈	cal
U+3387	㎇	gbgb
U+3386	㎆	mbmv
U+3385	㎅	kbkb
U+3384	㎄	kaka
U+3383	㎃	mama
U+3382	㎂	uaua
U+3381	㎁	nana
U+3380	㎀	papa
U+337F	㍿	株式会社
U+337E	㍾	明治
U+337D	㍽	大正
U+337C	㍼	昭和
U+337B	㍻	平成
U+337A	㍺	iuiu
U+3379	㍹	dmdm
U+3378	㍸	dmdm
U+3377	㍷	dmdm
U+3376	㍶	pcpc
U+3375	㍵	ovov
U+3374	㍴	bar
U+3373	㍳	auau
U+3372	㍲	dada
U+3371	㍱	hpa
